path	category	confidence	loc_or_bytes	evidence	risk
Assets/Game/Scenes/World/persistentScene/NavMesh-NavMesh.asset	generated	medium	6,540 bytes	refs.tsv refcount 0 / in orphans.tsv. Verified the reason: Assets/Game/Scenes/World/persistentScene.unity has `m_NavMeshData: {fileID: 0}` at BOTH occurrences (lines 121 and 1592), i.e. the scene no longer points at its baked NavMesh. The world NavMesh now comes from Assets/Game/Settings/WorldNavMesh.asset through WorldNavMeshProvider (documented in WorldStreamer.SnapAgentsToNavMesh's XML doc). Note: I checked and did NOT flag the sibling lightmap/EXR/LightingData files — persistentScene.unity:96 does reference LightingData.asset (guid 26df9b79d2aea44adae0b652a4e0a224), so those are live despite showing 0 direct refs.	Low, but if anyone re-points the scene's NavMeshSettings at a scene-local bake this is the file they would have re-baked anyway.
Assets/Game/Scripts/World/Streaming/Diagnostics/ChunkStreamingProbe.cs + Assets/Game/Scripts/World/Streaming/Diagnostics/Editor/ChunkStreamingProbeMenu.cs	experiment	low	316 LOC (269 + 47)	cs_report.tsv: ChunkStreamingProbe code_refs=1 guid_refs=0 — its only caller is ChunkStreamingProbeMenu.cs, which is itself code_refs=0/guid_refs=0 and reachable only through a [MenuItem]. Read in full: a one-off performance measurement harness that walks a synthetic anchor from x=300 to x=3300 at 40 m/s and writes chunk-streaming-probe.txt. Its constants are hardcoded to the current 8x6 grid (TraverseZ=750, StartX=300, EndX=3300 with the comment 'crosses the x=1..6 boundaries'), so it is a snapshot of one investigation, not a maintained tool. Install() is #if UNITY_EDITOR and gated on an EditorPrefs flag, so it cannot run in a shipped game — but the MonoBehaviour class itself is NOT inside #if UNITY_EDITOR, so it compiles into the runtime assembly of every build.	You lose the ability to re-measure streaming hitches without rewriting the harness. It is genuinely useful and genuinely well built — this is a judgement call, not a defect. If kept, MOVE it into the Editor/ folder (see the move findings) so it stops shipping.
Assets/Game/ScriptableObjects/CaveProfiles/AlienBioluminescent.asset, CrystalCavern.asset, LavaTube.asset, SandstoneCave.asset, WetGrotto.asset	unused-asset	low	~27 KB total, but they transitively pin ~20 cave decor FBXs (Stalagmite_01/02, Stalactite_01/02, Boulder_01..04, AlienMossPatch_01, BioluminescentFrond_01, CrystalLattice_01, PulsingNodule_01, SporePodCluster_01) whose ONLY referencers are these profiles	refs.tsv: all five have refcount 0. Only RuinCave.asset has refcount 1 (Assets/Game/Scenes/Interiors/AlgeaCave.unity). Confirmed against the two scenes that carry a CaveSpawner: AlgeaCave.unity:184 sets `profile: {guid: 528e44697ce1e439498a6edb3da6d0ee}`, and SandstoneCaveInterior.unity has no profile assignment at all — it runs CaveSpawner's explicitly-labelled 'Legacy inline shape (used when no profile is assigned)' path. So 5 of the 6 authored cave looks are wired to nothing.	HIGH if wrong: these look like a deliberate authoring library of cave presets, and dropping them also strands the cave decor art that only they reference. Do not delete without asking the user whether the cave-variety feature is still planned. Reported because it is the cave subsystem; note it overlaps the ScriptableObjects/Art auditors' scopes.
Assets/Game/Scripts/Agents/Profiles/EntitySystemSetup.cs	stale-doc	high	113 LOC	File body is `public static class EntitySystemSetup { }` — its own line 110 says "This file contains no runtime code — it is documentation only." grep -rI '\bEntitySystemSetup\b' across Assets/ + ProjectSettings/ (.cs .unity .prefab .asset .json .md) returns ONLY this file. Present in cs_unreachable.tsv and cs_dead_candidates.tsv. Its content is also stale: it instructs the reader to add 8 profile types that no longer exist (EntityProfile_RobotPhil/Roberto/Cath/Ernst, EntityProfile_DesertRat, EntityProfile_HostileRobot, EntityProfile_MountableAnt, EntityProfile_BountyHunter — grep across Assets/: 0 hits each) at 5 prefab paths that no longer exist (Assets/Game/Prefabs/Player/PlayerCharacterNetworked.prefab, .../entities/Robots/Phil.prefab, .../entities/NPC/NPC.prefab, .../entities/hostiles/enemy.prefab, .../entities/MountableAnt.prefab).	None. No runtime code, no type anyone references. Worst case a human loses a wiring guide that is already wrong in 13 of its 13 steps.
Assets/Game/Scripts/Agents/Modules/Cover/ (CoverModule.cs 113 LOC + CoverPoint.cs 85 LOC)	experiment	high	198 LOC (whole folder)	refs.tsv guid_refs = 0 for both. grep for CoverModule, CoverPoint and CoverPointRegistry across Assets/ + ProjectSettings/ (.cs .unity .prefab .asset) returns only these two files plus the stale EntitySystemSetup doc. Both listed in cs_unreachable.tsv. CoverModule cannot function without CoverPoint components placed in scenes, and grep of every .unity/.prefab shows the CoverPoint component was never placed anywhere. No prefab carries CoverModule.	Loses a cover-seeking behaviour that was never wired into a single scene or prefab, so nothing observable changes. If someone intends to finish it, the 198 LOC are recoverable from git.
Assets/Game/Scripts/Agents/Modules/Combat/WeaponSelector.cs	experiment	high	30 LOC	refs.tsv guid_refs = 0, code_refs = 0. grep -rI '\bWeaponSelector\b' across Assets/ + ProjectSettings/ returns ONLY its own file. In cs_unreachable.tsv. It is one of three mutually exclusive, all-unused answers to "which weapon model does the agent show" (the others being WeaponMount and EntityEquipmentController); the shipping answer is AgentRangedCombatModule's own `weapon` + `muzzleSocket` fields plus the FindChildByName("Gun") toggle in its Awake.	None — no prefab has the component, so no weapon model visibility changes.
Assets/Game/Scripts/Agents/Modules/Combat/WeaponMount.cs	experiment	high	64 LOC (+4 lines in AgentRangedCombatModule.cs)	refs.tsv guid_refs = 0 — the component is on no prefab and in no scene. grep for WeaponMount/WeaponSlot across all Assets returns only WeaponMount.cs plus 3 sites in AgentRangedCombatModule.cs: the serialized field (lines 53-54), the GetComponentInChildren fallback (lines 110-111), and the ternaries in FireOne (lines 310-311) which resolve to `weapon`/`muzzleSocket` whenever weaponMount is null — which is always. Its whole public surface (EquipNext, EquipPrevious, OnWeaponChanged, ActiveIndex, SlotCount) has zero call sites anywhere.	Requires editing 4 lines of AgentRangedCombatModule (collapse `weaponMount != null ? weaponMount.ActiveDefinition : weapon` to `weapon`, and the same for the muzzle). Behaviour identical because the ternary already always takes the else branch.
Assets/Game/Scripts/Agents/Entity/EntityEquipmentController.cs	experiment	high	101 LOC	refs.tsv guid_refs = 0, code_refs = 0. grep -rI '\bEntityEquipmentController\b' across Assets/ returns its own file plus one prose mention in a comment at EntityInventoryComponent.cs:3. In cs_unreachable.tsv. Nothing calls EquipSlot/Unequip/UseEquipped. Third of the three dead weapon-holding experiments.	None — no prefab carries it, so no agent loses an equipped item. EntityInventoryComponent (3 prefab refs) and EntityLootTable (3 prefab refs) are unaffected; only the comment on line 3 becomes stale and should be trimmed with it.
Assets/Game/Scripts/Agents/Modules/Facing/FacePlayerModule.cs	duplicate	high	45 LOC	refs.tsv guid_refs = 0; grep across all Assets returns only its own file. Its Tick body is statement-for-statement identical to WatchModule.Tick (47 LOC, also in Modules/Facing/): TargetResolution.Refresh(target, ref retargetTimer, 1f, ...) -> `if (!target) return null` -> distance-vs-radius early out -> `return MoveIntent.StopAndFace(target.position)`. Both Reset() to ModulePriority.Ambient. The only differences are the default FactionRelationship (Allied vs Neutral) and the radius field name (triggerRadius vs detectRadius) — both inspector-editable, so WatchModule with requiredRelationship=Allied is exactly FacePlayerModule.	None — 0 prefab refs. If someone later wants the Allied variant, set WatchModule.requiredRelationship in the inspector.
Assets/Game/Scripts/Agents/Modules/Flocking/FlockingModule.cs	superseded	high	108 LOC (cascades to ~141 with AgentController + AgentContext)	refs.tsv guid_refs = 0 — on no prefab, in no scene. grep hits: its own file, prose comments in AgentController.cs:17 and AgentContext.cs:2, and one `go.GetComponent<FlockingModule>()` at EntityProfileEditors.cs:217 whose result is immediately passed to SetModuleActive(null,false) and no-ops. HerdModule is the shipped group-movement implementation (5 prefab refs, wired to MatchManager.SetHerdId and to ChaseModule.CombatSpreadRadius). Verified cascade: FlockingModule is the ONLY reader of AgentContext.NearbyAgentPositions/NearbyAgentVelocities/NearbyAgentCount (grep 'NearbyAgent' across all .cs returns writers in AgentController.cs:102-104 and readers only in FlockingModule.cs:41-62).	None behaviourally. Deleting it makes AgentController's nearbyAgentScanRadius/nearbyAgentLayer fields, its three 32-element buffers and the OverlapSphere block in BuildContext (lines 87-105) dead too — they should go in the same change or the perf cost stays for nothing. Serialized nearbyAgentScanRadius values on 30+ prefabs become orphan YAML keys, which Unity silently drops.
Assets/Game/Scripts/Agents/Modules/Patrol/BasePatrolModule.cs	duplicate	high	131 LOC	refs.tsv guid_refs = 0; the only reference anywhere is GetOrAdd<BasePatrolModule> at EntityProfileEditors.cs:214 (itself a removal candidate). Functionally a strict subset of PatrolModule's PatrolMode.RadiusBased: both resolve centre as baseTransform/radiusCenter else a lazily captured spawn anchor, both loop Random.insideUnitCircle*radius -> NavMesh.SamplePosition -> re-check offset.sqrMagnitude <= radius^2 -> reject if closer than minDestinationDistance/minMoveDistance, both Random.Range(minWaitTime,maxWaitTime) between points, both Reset() to ModulePriority.Fallback. PatrolModule has 5 prefab refs (PatrolRobot x4, DeathmatchBot) and additionally supports PatrolPoints mode and holdPositionWhileWaiting.	None — 0 prefab refs. Deleting it requires deleting the EntityProfile_GenericEnemy generator block that configures it (which is itself a removal candidate).
Assets/Game/Scripts/Agents/Profiles/EntityProfile_BaseAgent.cs, EntityProfile_NPC.cs, EntityProfile_GenericEnemy.cs, EntityProfile_Vehicle.cs (+ Assets/Game/Editor/Agents/EntityProfileEditors.cs)	experiment	high	188 LOC + 377 LOC editor = 565 LOC	All four profiles have refs.tsv guid_refs = 0 — none is on any prefab. Each is a data-only MonoBehaviour whose header says "Add to a prefab, configure values in the Inspector, then click Generate. After generating, this component can be removed", i.e. one-shot authoring scaffolding, and the removal step was in fact performed everywhere (0 prefab refs). The only reader of each is its [CustomEditor] in Editor/Agents/EntityProfileEditors.cs, which reads them and nothing else. The generator is also stale: it configures BasePatrolModule (0 prefab refs), queries FlockingModule (0 prefab refs), and its motor wiring is a silent no-op (see bug 2). The prefabs it was used to author (PatrolRobot x4, DeathmatchBot) are already fully configured and do not carry the profile.	Loses the one-click prefab-authoring tool. Prefabs already generated are unaffected — every value it sets is serialized on the prefab, not read from the profile at runtime. If the user still authors agents by hand this is a real convenience loss; that is the only reason not to delete. EntityProfileEditors.cs is in Editor/ (outside my scope path) but is dead once the four profiles go — flag to whoever audits Editor/.
Assets/Game/Scripts/Agents/Controller/DuneRiderController.cs + Assets/Game/Prefabs/Agents/Vehicles/Ground/Dune Rider.prefab	superseded	high	300 LOC + 18,678 bytes	Prefab GUID 54a43b7a226440468f0106172f877315: grep -rIl across all of Assets/ + ProjectSettings/ returns only its own .meta (refs.tsv refcount 0), and no .cs loads it by path (grep for 'Dune Rider'/'DuneRider' in all .cs finds only DuneRiderController.cs itself). DuneRiderController's only host is that prefab (refs.tsv refcount 1). The prefab carries exactly DuneRiderController + MountModule — no AgentController, no SteerModule, no IMovementMotor. The controller reimplements from scratch what SteerModule + RigidbodyMotor already do for every other mountable vehicle: it polls Keyboard.current/Gamepad.current directly (ReadKeyboardMove, ReadSprintHeld, ReadHopPressed, lines 178-219) instead of going through InputSystem actions, and hand-rolls its own yaw/throttle-ramp/ground-raycast-hop (ApplyYaw, ApplyThrottle, ApplyHop) — ApplyThrottle lines 230-253 is a near line-for-line rewrite of RigidbodyMotor.DriveFromRider lines 178-222, including the same 'track speed in our own state so ground friction can't drain it' comment.	Loses an unreferenced vehicle. Medium-low: nobody can reach it in game today. Its raw-device input polling is also the only place in the Agents domain that bypasses the Input System action map, so removing it removes an inconsistency.
Assets/Game/Prefabs/Agents/Creatures/MountableAnt.prefab	superseded	high	15,738 bytes	Two MountableAnt prefabs exist. GUID f62742d3949ca494a8efb8b58c71f89d (Creatures) and e3a51fc05fd46456280c95494ea11d8a (Vehicles/Mounts) — grep -rIl for each across all of Assets/ returns only its own .meta, so both are unreferenced, but the Creatures one is provably the OLDER of the pair: its component set is AgentController + NavMeshAgentMotor + AgentAnimatorDriver + HealthComponent + NpcBrain + WanderBehaviour (the self-declared-obsolete legacy brain stack), whereas Vehicles/Mounts has AgentController + NavMeshAgentMotor + AgentAnimatorDriver + HealthComponent + WanderModule + MountModule + SteerModule (the modular stack) plus newer tuning the old one lacks (m_Speed 8 vs 4, walkSpeedMultiplier, enableMountedLeap/mountedLeapCooldown/mountedLeapSampleRadius/riderTurnSpeed/riderForwardTargetDistance/riderStopDistance/riderNavMeshSampleDistance). The Creatures copy additionally carries FOUR unresolvable m_Script GUIDs (434b1cb41931349a580b035d41199472, 5ab4e14ea8b148f7b3f4ef0a5fefac42, acdc445562c6e420c8ef8cec6ec54ffb, e03ab404b2c7f45b6930746c2df20c86) — no .cs.meta anywhere in the project declares them, so those are Missing Script components. Those same 4 GUIDs also appear in Assets/Game/Scenes/World/Chunks/Chunk_18_10.unity.	Deleting the Creatures copy is safe (0 refs). Keep Vehicles/Mounts/MountableAnt.prefab — it is the one an EntityProfile_Vehicle-style mount should point at. Note the 4 orphan script GUIDs also sit in Chunk_18_10.unity; that scene is another auditor's scope but is the same broken component set.
Assets/Game/Scripts/Agents/AI/Motors/FlyingRigidbodyMotor.cs + Assets/Game/Scripts/Agents/Modules/Movement/AirWanderModule.cs + Assets/Game/Prefabs/Agents/Vehicles/Aircraft/Blimp.prefab	experiment	medium	378 + 109 LOC + 10,979 bytes	Blimp.prefab GUID d33ac27917a94aac82652cec4f25841c: grep -rIl across all Assets/ + ProjectSettings/ returns only its own .meta, and no .cs references it by path (grep 'Blimp' in all .cs returns only prose in FlyingRigidbodyMotor/OrnithopterFlightMotor/SteerModule comments). refs.tsv: FlyingRigidbodyMotor guid_refs = 1 (Blimp.prefab only); AirWanderModule guid_refs = 1 (Blimp.prefab only). Its components are AgentController + FlyingRigidbodyMotor + AirWanderModule + MountModule + SteerModule, i.e. Blimp is the sole host of both scripts and is itself orphaned. The two live flying paths are elsewhere and unaffected: OrnithopterFlightMotor (DuneOrnithopter.prefab, built by Editor/Vehicles/OrnithopterBuilder.cs, covered by Editor/Tests/OrnithopterRigWiringTests.cs) and HoverRigidbodyMotor (ShipRV.prefab, built by Editor/Vehicles/ShipRVBuilder.cs, referenced by persistentScene).	Loses the blimp entirely — a self-contained free-3D flying motor with altitude hold. Medium not high because unlike the other candidates this is a complete, working feature that was simply never placed in a scene; the user may want it. Removing FlyingRigidbodyMotor also removes one of the three copies of the rider-latch boilerplate (see refactors).
Assets/Game/Prefabs/Agents/Vehicles/Spacecraft/Ship.prefab	superseded	medium	10,817 bytes	GUID 4938ebdecf1e547a0ac42cc484c9e5d3: grep -rIl across all Assets/ returns only its own .meta. Components are AgentController + RigidbodyMotor + MountModule + SteerModule + InteractableProxy. The current ship is Assets/Game/Prefabs/Agents/Vehicles/Spacecraft/ShipRV.prefab (287 KB, HoverRigidbodyMotor, generated and maintained by Assets/Game/Editor/Vehicles/ShipRVBuilder.cs which hardcodes its path at line 33, referenced by persistentScene.unity and Ferdinand_Test_world.unity). HoverRigidbodyMotor's own header comment (lines 4-17) explicitly documents itself as the deliberate replacement for the flying/rigidbody approach. A third copy of the same idea exists at Assets/Game/Prefabs/Legacy/Vehicles/Ship.prefab.	Loses an unreferenced older ship. Low risk — nothing loads it, and its role is filled by ShipRV. Coordinate with whoever audits Prefabs/Legacy so all three Ships are resolved together.
Assets/Game/Scripts/Agents/Perception/AlertBroadcaster.cs + Assets/Game/Scripts/Agents/Perception/AlertReceiverModule.cs	dead-code	medium	57 + 71 = 128 LOC	The feature has no entry point. grep -rn '\.Broadcast(' across every .cs in Assets/ returns ZERO call sites — only the declaration at AlertBroadcaster.cs:26, prose in AlertReceiverModule's header/ModuleDescription, the stale EntitySystemSetup lines, and GetOrAdd<AlertBroadcaster> in EntityProfileEditors.cs:222. AlertReceiverModule.ReceiveAlert is called from exactly one place — inside AlertBroadcaster.Broadcast — so it is unreachable too. AlertBroadcaster's own header claims "Call Broadcast() from ChaseModule (OnEnterAttackRange), PerceptionModule, or any external trigger": ChaseModule has no OnEnterAttackRange member (grep: 0 hits) and PerceptionModule never calls it. Both components ARE serialized onto 5 live prefabs (PatrolRobot, PatrolRobot 1/2/3, DeathmatchBot), so AlertReceiverModule burns an Awake + a per-frame Tick per agent and can never fire.	Real feature loss on paper, zero observable loss in practice — the ally-alert channel has never fired. Its function is largely covered by the noise channel, which IS wired: EntityAudioModule.cs:109 emits NoiseType.Alert on aggro and HealthReactionModule.cs:111/125 emit Hurt/Death, and NoiseReceiverModule's default aggroOn mask (Alert|Hurt) hands the instigator straight to AgentTargeting.ForceTarget. If the user wants ally alerts, the correct fix is one call from AgentTargeting/ChaseModule rather than keeping 128 inert LOC.
Assets/Game/Scripts/Agents/AI/Brains/NpcBrain.cs + EnemyBrain.cs + IAgentBrain.cs + Assets/Game/Scripts/Agents/AI/Behaviours/WanderBehaviour.cs	superseded	medium	302 + 106 + 9 + 278 = 695 LOC (+ ~13 LOC of fallback in AgentController)	Both brains self-declare it on line 1: "OBSOLETE: Replaced by the modular behaviour system (BehaviourModuleBase / IBehaviourModule). Kept for prefab compatibility." AgentController.cs:145-147 and 230-238 carry the matching legacyBrain fallback, commented "Fall back to legacy brain if present (old NpcBrain / EnemyBrain on same prefab)". Their functionality is fully covered by shipped modules: NpcBrain's five NpcPlayerReactionMode branches map 1:1 onto WatchModule / ApproachModule / KeepDistanceModule / FleeModule, its ProcessIdleLookAround (lines 231-267) is a verbatim reimplementation of IdleLookAroundModule.Tick (lines 34-61), and its FocusOn/interactionFocusTimer is InteractionFocusModule. EnemyBrain is ChaseModule + CloseCombatModule + WanderModule. WanderBehaviour is WanderModule (random roam) + PatrolModule (waypoints, and PatrolModule already imports WanderBehaviour's PatrolSelectionMode enum). Hosts (refs.tsv): WanderBehaviour 15 refs, NpcBrain 14, EnemyBrain 1 — ALL of them Prefabs/Legacy/* (enemy, NPC, NPC_Mechanic, NPC_Prospector, NPC_Settler, NPC_SkittishScavenger, Robots/Phil, Roberto, Cath, Ernst, Templates/Template) plus Creatures/MountableAnt.prefab (also a removal candidate) plus 3 chunk scenes (Chunk_7_5, Chunk_18_10, Tests/FerdinandWorld/FerdinandChunk_3_1). Both brains also still contain the exact defect TargetResolution.cs was written to fix — NpcBrain.cs:145-148 `if (playerTarget) return;` and EnemyBrain.cs:88-91 `if (target) return;` never re-resolve and never drop a corpse.	HIGH and the reason this is medium confidence, not high: 12 Legacy prefabs and 3 shipped chunk scenes carry these components. Deleting the scripts without first deleting or migrating those prefab instances leaves Missing Script components in live streaming chunks. This must be sequenced with whoever audits Assets/Game/Prefabs/Legacy/** — if those prefabs go, this whole 695-LOC layer goes with them and AgentController loses its legacyBrain field, its IAgentBrain resolve loop and the second GetComponentsInChildren pass.
Assets/Game/ScriptableObjects/Factions/Solo/Solo1..Solo16.asset + Assets/Game/ScriptableObjects/Factions/Teams/Team{Red,Blue,Green,Yellow}.asset	unused-asset	low	20 assets, ~14 lines of YAML each	Each carries exactly a factionName string and a debugColor. GUID grep for each (checked Solo1 = caea014a2d4154e0bb03053777b7ef78 and TeamRed = d69aae2bf7f6842298a4d4c229ee33d1) finds them referenced ONLY by Assets/Game/ScriptableObjects/Factions/Core/GlobalRelationships.asset, never by a prefab or scene. Their intended consumer is MatchManager.cs:33/36 (`FactionDefinition[] teamFactions` / `soloFactions`, read by FactionFor()), but the MatchManager script GUID 4e26c1883c39a42b09ab1d3accec3e16 appears in NO scene or prefab (only its own .meta), so those arrays are never populated and the deathmatch minigame is entirely unwired.	HIGH if the user intends to finish the minigame — these 20 assets plus their 400-line GlobalRelationships pair table are exactly the data MatchManager needs for TeamDeathmatch and FFA, and regenerating the relationship matrix by hand is tedious. I am listing them for completeness, not recommending deletion: they are cheap (a few hundred bytes each) and are content awaiting wiring rather than dead experiment. The four Core factions (Player/Robot/NPC + GlobalRelationships) are genuinely live on 8 prefabs and must be kept.
Assets/Game/Scripts/Weapons/Firearms/EnergyRifle.cs	experiment	high	118 loc / 4368 B	cs_report: 0 code_refs, 0 guid_refs. `grep -rn '\bEnergyRifle\b' Assets --include=*.cs --include=*.unity --include=*.prefab --include=*.asset` returns only line 12 of the file itself. GUID f77c1e9af853ac4498624e1bd5dc2fc8 grepped across Assets+ProjectSettings+Packages matches only its own .meta. Its own header comment says "Demonstrates hitscan weapon type extending abstract Weapon base".	None. No prefab, scene or script names the type; it is an abstract-Weapon demo subclass.
Assets/Game/Scripts/Items/Equipped/weapon.cs	dead-code	high	5 loc / 31 B	File content is `namespace SpaceGame.Items { }` — 5 lines, zero declared types (cs_report types column is empty). GUID fc826713f12a30b4a9e0ed31aa882a5c matches only its own .meta across Assets+ProjectSettings+Packages. Also violates the file-naming convention (lowercase) that the brief calls out.	None — an empty namespace declaration compiles to nothing.
Assets/Game/Scripts/Weapons/BallLightning/BallLightningProjectileOld.cs	superseded	high	23 loc / 980 B	Declares `BallLightningProjectile_OLD : MonoBehaviour` with one field `deprecatedDoNotUse` and a doc comment saying it was replaced by Weapons/Projectiles/BallLightningProjectile.cs. GUID beea2d59dad95a04ab83d1dd6f8b42b7 appears in exactly one place besides its .meta: Prefabs/Items/Artifacts/ArtifactResources/BallLightningProjectile.prefab line 281, as a component with `m_Enabled: 0` (disabled) and a stale `m_EditorClassIdentifier: Assembly-CSharp::BallLightningProjectile`. The live component (guid 4daa893b035c3d74eb994a68fc02e9c1) is on the same GameObject at line 364.	Deleting the .cs alone leaves a "missing script" entry on that prefab. Remove the component block (fileID 8231820350441839728, ~13 lines of YAML plus its m_Component entry) in the same change.
Assets/Game/Scripts/Items/Inventory/Components/HotbarController.cs	superseded	high	45 loc / 1666 B	0 code_refs. GUID 07ae79d65a784f59804b97fbf3c94045 appears only in its own .meta and in Prefabs/Characters/Player/Player.prefab (line 111) — the prefab the brief identifies as a dead stub (the real player is PlayerCharacter.prefab, which does NOT contain it). Nothing subscribes to its OnHotbarKeyPressed/OnDropPressed: the live path is PlayerInventoryComponent/PlayerInventoryNetwork subscribing to `player.Input.OnHotbarPressed / OnHotbarScrolled / OnDropPressed` (PlayerInputManager). It also opens its own second `new InputControls()` instance for the same Hotbar action map.	Only if Player.prefab is revived. Delete together with Player.prefab, or accept a missing script on a prefab already declared dead.
Assets/Game/ScriptableObjects/Weapons/BallLightningWeapon.asset	duplicate	high	639 B	refs.tsv refcount 0; GUID dafca351319de1141958e0487e68f3e9 matches only its own .meta across Assets+ProjectSettings+Packages. It is an InventoryItem (m_Script guid e2e489ee… = Items/Core/InventoryItem.cs) with the same itemPrefab (ecdc0f19… CixinGunEquipped) as Resources/Items/Artifacts/BallLightningWeapon.asset, so it duplicates a registered item. Being outside a Resources folder it is never picked up by RegistryLoader's `Resources.LoadAll<InventoryItem>("Items")`, so it is unreachable at runtime even by ID. It is also misfiled: the other three assets in ScriptableObjects/Weapons are AgentAimProfile/AgentFireProfile/AgentWeaponDefinition, not items.	None. Chained: Art/Sprites/Items/BallLightningWeapon.png (refs.tsv refcount 1, this asset is its only referrer) becomes orphaned too — that file is in another auditor's scope.
Assets/Game/ScriptableObjects/Items/Lasso.asset, Leash.asset, GrapplingHook.asset, RuinScanner.asset, RocketArtifact.asset, AntiGravityFlask.asset	duplicate	high	6 files, ~3.7 KB	All six are InventoryItems (same script guid e2e489ee…) whose itemPrefab and icon GUIDs are identical to the Resources/Items/Artifacts copies (verified pairwise: Lasso→bcffc184/e4428f69, GrapplingHook→40fe281b/86e9216d, RuinScanner→196dc304/a62dd5da, RocketArtifact→71e26f7a/6e756e71, AntiGravityFlask→663a29fa/35762b24, Leash→b3cbd114 with the correct Leash icon). Their six GUIDs grepped across Assets+ProjectSettings+Packages appear ONLY in ExpeditionBackpack.prefab (startingStrapItems lines 4591-4596 / startingMainItems 4598-4601) and FieldBackpack.prefab. They sit outside Resources, so RegistryLoader never registers them — see bugs 1 and 2.	ExpeditionBackpack.prefab's startingStrapItems/startingMainItems must be repointed to the Resources/Items/Artifacts equivalents first, otherwise the pack starts empty. Repointing is also the fix for the save/load bug. Note Resources/Items/Artifacts/Leash.asset currently carries the LASSO icon (guid e4428f69) — copy the correct icon (e8e082f4) over when consolidating.
Assets/Game/Prefabs/Items/Equipment/FieldBackpack.prefab	superseded	high	41859 B	refs.tsv refcount 0; GUID d8d638f784bab472cb1b48e4679fcb08 matches only its own .meta. It is the older clamshell pack: hinges are PIVOT_Door_L/PIVOT_Door_R on localAxis (0,0,1) at ±135°, which is exactly what BackpackObject.cs's tooltip calls "the older clamshell" as opposed to the live ExpeditionBackpack (PIVOT_Lid/PIVOT_Panel, localAxis (1,0,0), 95/-105). PlayerCharacter.prefab's BackpackController points at ExpeditionBackpack.prefab, not this. No name-based load: `grep -rn 'FieldBackpack|field_backpack'` over Assets returns only a code comment in BackpackContainer.cs.	Loses the only remaining wiring example for the clamshell rig. Chained: Art/Models/Props/field_backpack.fbx (refs.tsv refcount 1, this prefab is its only referrer) and its material/texture set become orphaned — that FBX is in another auditor's scope.
Assets/Game/Prefabs/Items/Artifacts/ArtifactResources/Line.prefab	dead-code	high	3665 B (+4835 B for the orphan referrer)	Dead two-link chain. Line.prefab (GUID d5ec12e0b522148d7b78b7c3433d0e35) is referenced by exactly one file, Prefabs/VisualEffects/Lines/'line (1) 1.prefab', and that file's own GUID (c019c61c9fab04e538e2a4b7998c60a8) matches nothing but its .meta across Assets+ProjectSettings+Packages (refs.tsv refcount 0). The rope prefab actually used by GrapplingHook.prefab and Lasso.prefab is the different 'line (1).prefab' (refcount 2). Line.prefab itself is a bare LineRenderer GameObject named "line" with no scripts.	None. 'line (1) 1.prefab' should go with it; that file is in another auditor's scope.
Assets/Game/Scripts/Items/Artifacts/RuinScanner/RuinSecret.cs	experiment	medium	171 loc / 6532 B	171 loc, 0 code_refs, 0 guid_refs. GUID bf88a5f83422048b2a9ccb544728772d matches only its own .meta across Assets+ProjectSettings+Packages, i.e. the component has never been placed on a prefab or in a scene. It is the ONLY implementation of IRuinSecret (`grep -rn IRuinSecret` returns just this file, the interface, and RuinScannerArtifact's HashSet/GetComponentInParent calls), so RuinScannerArtifact's entire reveal half currently has nothing to reveal — the artifact only produces its RuinScannerPulse cone VFX.	Medium: this is the intended payload of a half-built feature, not junk. Deleting it (and then IRuinSecret, 17 loc, plus the reveal branch of RuinScannerArtifact) commits to the scanner being VFX-only. Keep if ruins-with-secrets is still on the roadmap; the honest alternative is to place one RuinSecret in a ruin prefab and finish the feature.
Assets/Game/Prefabs/Items/Debug/Cube.prefab, Sphere.prefab + Assets/Game/Resources/Items/Debug/Cube.asset, Sphere.asset	dead-code	low	4 files, ~12.9 KB	Pure dev scaffolding: primitive-mesh pickups whose InventoryItems live in Resources/Items/Debug so they show up in DevInventoryUI's Registry<InventoryItem>.All listing. Their only referrers are DefaultNetworkPrefabs(.asset / ' Unused'.asset) and the developer test scenes Emil/Marius test scene — no world/persistent scene references them (verified in refs.tsv).	Removing them breaks the two named test scenes and requires the entries to be pulled from both DefaultNetworkPrefabs lists (NetworkPrefabRegistrationTests asserts no null entries). They are cheap and genuinely useful for testing pickup/networking, so this is a judgement call, not a defect.
Assets/Game/Prefabs/Items/Artifacts/ArtifactResources/RocketProjectile.prefab (the BasicProjectile component only, not the prefab)	dead-code	medium	~10 lines of prefab YAML	The prefab carries BasicProjectile (line 71, hitMask all, destroyOnHit 1, damage 10, speed 50) but its only spawner, Agents/Modules/Combat/RocketLauncherTurret.Fire() (line 79-90), never calls Initialize() or StartLifetime() — it adds/uses TurretProjectile + Rigidbody.linearVelocity instead. BasicProjectile.UpdateMovement returns immediately while `initialized` is false, and lifeTime is only armed by StartLifetime, so the component contributes nothing: the rocket flies on physics and is damaged-scored by TurretProjectile.	Low. Verify no other spawner uses this prefab (refs.tsv: only RocketSpawn.prefab). Removing the component also removes the misleading duplicate damage number (10 here vs RocketLauncherTurret's damagePerHit 50).
